worker_id,date,start_time,end_time,status
W001,2026-08-13,08:00,18:00,booked
W001,2026-08-14,08:00,18:00,available
W001,2026-08-15,08:00,18:00,available
W001,2026-08-16,08:00,18:00,unavailable
W001,2026-08-17,08:00,18:00,available
W001,2026-08-18,08:00,18:00,booked
W001,2026-08-19,08:00,18:00,booked
W001,2026-08-20,08:00,18:00,available
W001,2026-08-21,08:00,18:00,available
W001,2026-08-22,08:00,18:00,available
W001,2026-08-23,08:00,18:00,unavailable
W001,2026-08-24,08:00,18:00,available
W001,2026-08-25,08:00,18:00,booked
W001,2026-08-26,08:00,18:00,available
W002,2026-08-13,08:00,18:00,booked
W002,2026-08-14,08:00,18:00,available
W002,2026-08-15,08:00,18:00,available
W002,2026-08-16,08:00,18:00,unavailable
W002,2026-08-17,08:00,18:00,available
W002,2026-08-18,08:00,18:00,available
W002,2026-08-19,08:00,18:00,available
W002,2026-08-20,08:00,18:00,available
W002,2026-08-21,08:00,18:00,available
W002,2026-08-22,08:00,18:00,available
W002,2026-08-23,08:00,18:00,unavailable
W002,2026-08-24,08:00,18:00,available
W002,2026-08-25,08:00,18:00,available
W002,2026-08-26,08:00,18:00,available
W003,2026-08-13,08:00,18:00,available
W003,2026-08-14,08:00,18:00,available
W003,2026-08-15,08:00,18:00,available
W003,2026-08-16,08:00,18:00,unavailable
W003,2026-08-17,08:00,18:00,available
W003,2026-08-18,08:00,18:00,available
W003,2026-08-19,08:00,18:00,available
W003,2026-08-20,08:00,18:00,available
W003,2026-08-21,08:00,18:00,booked
W003,2026-08-22,08:00,18:00,available
W003,2026-08-23,08:00,18:00,available
W003,2026-08-24,08:00,18:00,available
W003,2026-08-25,08:00,18:00,available
W003,2026-08-26,08:00,18:00,booked
W004,2026-08-13,08:00,18:00,booked
W004,2026-08-14,08:00,18:00,available
W004,2026-08-15,08:00,18:00,available
W004,2026-08-16,08:00,18:00,unavailable
W004,2026-08-17,08:00,18:00,available
W004,2026-08-18,08:00,18:00,available
W004,2026-08-19,08:00,18:00,available
W004,2026-08-20,08:00,18:00,available
W004,2026-08-21,08:00,18:00,available
W004,2026-08-22,08:00,18:00,available
W004,2026-08-23,08:00,18:00,unavailable
W004,2026-08-24,08:00,18:00,available
W004,2026-08-25,08:00,18:00,available
W004,2026-08-26,08:00,18:00,available
W005,2026-08-13,08:00,18:00,booked
W005,2026-08-14,08:00,18:00,available
W005,2026-08-15,08:00,18:00,unavailable
W005,2026-08-16,08:00,18:00,unavailable
W005,2026-08-17,08:00,18:00,available
W005,2026-08-18,08:00,18:00,available
W005,2026-08-19,08:00,18:00,available
W005,2026-08-20,08:00,18:00,available
W005,2026-08-21,08:00,18:00,available
W005,2026-08-22,08:00,18:00,available
W005,2026-08-23,08:00,18:00,available
W005,2026-08-24,08:00,18:00,available
W005,2026-08-25,08:00,18:00,available
W005,2026-08-26,08:00,18:00,available
W006,2026-08-13,08:00,18:00,available
W006,2026-08-14,08:00,18:00,available
W006,2026-08-15,08:00,18:00,unavailable
W006,2026-08-16,08:00,18:00,unavailable
W006,2026-08-17,08:00,18:00,available
W006,2026-08-18,08:00,18:00,available
W006,2026-08-19,08:00,18:00,available
W006,2026-08-20,08:00,18:00,available
W006,2026-08-21,08:00,18:00,available
W006,2026-08-22,08:00,18:00,available
W006,2026-08-23,08:00,18:00,unavailable
W006,2026-08-24,08:00,18:00,available
W006,2026-08-25,08:00,18:00,available
W006,2026-08-26,08:00,18:00,available
W007,2026-08-13,08:00,18:00,available
W007,2026-08-14,08:00,18:00,available
W007,2026-08-15,08:00,18:00,available
W007,2026-08-16,08:00,18:00,unavailable
W007,2026-08-17,08:00,18:00,available
W007,2026-08-18,08:00,18:00,booked
W007,2026-08-19,08:00,18:00,available
W007,2026-08-20,08:00,18:00,available
W007,2026-08-21,08:00,18:00,booked
W007,2026-08-22,08:00,18:00,available
W007,2026-08-23,08:00,18:00,unavailable
W007,2026-08-24,08:00,18:00,available
W007,2026-08-25,08:00,18:00,unavailable
W007,2026-08-26,08:00,18:00,available
W008,2026-08-13,08:00,18:00,available
W008,2026-08-14,08:00,18:00,available
W008,2026-08-15,08:00,18:00,available
W008,2026-08-16,08:00,18:00,unavailable
W008,2026-08-17,08:00,18:00,available
W008,2026-08-18,08:00,18:00,available
W008,2026-08-19,08:00,18:00,available
W008,2026-08-20,08:00,18:00,available
W008,2026-08-21,08:00,18:00,booked
W008,2026-08-22,08:00,18:00,unavailable
W008,2026-08-23,08:00,18:00,unavailable
W008,2026-08-24,08:00,18:00,unavailable
W008,2026-08-25,08:00,18:00,available
W008,2026-08-26,08:00,18:00,available
W009,2026-08-13,08:00,18:00,unavailable
W009,2026-08-14,08:00,18:00,available
W009,2026-08-15,08:00,18:00,booked
